aX,aY,aZ,gX,gY,gZ
-0.019,0.012,0.906,4.028,-1.160,6.104
-0.009,0.011,0.898,4.211,-1.160,5.859
-0.002,0.015,0.900,3.845,-1.221,5.615
0.004,0.017,0.900,2.686,-1.648,5.432
0.009,0.023,0.891,1.343,-1.709,5.493
0.014,0.025,0.893,0.916,-0.977,5.188
0.018,0.031,0.899,0.977,-0.244,4.822
0.017,0.030,0.902,1.465,0.244,4.517
0.014,0.029,0.905,1.953,0.793,3.967
0.008,0.028,0.917,1.770,0.977,3.540
0.001,0.031,0.921,1.038,-0.122,3.235
-0.006,0.033,0.922,0.427,-1.282,3.235
-0.014,0.034,0.928,0.671,-1.343,3.296
-0.020,0.036,0.931,1.343,-0.671,3.723
-0.027,0.036,0.930,2.014,-0.366,3.723
-0.028,0.040,0.931,2.563,0.000,3.906
-0.035,0.039,0.935,2.930,0.427,4.272
-0.034,0.039,0.944,2.808,1.038,4.578
-0.033,0.035,0.943,2.502,1.038,4.578
-0.032,0.038,0.940,1.892,0.732,4.517
-0.033,0.038,0.945,1.648,0.549,4.272
-0.039,0.040,0.946,1.587,-0.305,4.028
-0.042,0.040,0.942,1.770,-0.977,3.723
-0.047,0.040,0.934,1.953,-1.221,3.723
-0.049,0.037,0.937,1.892,-1.221,3.784
-0.052,0.036,0.941,1.465,-1.343,4.089
-0.047,0.037,0.944,0.793,-2.136,4.578
-0.048,0.039,0.941,0.061,-2.747,5.066
-0.047,0.037,0.933,0.061,-2.625,5.371
-0.046,0.035,0.930,0.488,-1.770,5.493
-0.038,0.035,0.937,0.793,-0.671,5.676
-0.032,0.033,0.937,0.549,-0.366,5.798
-0.030,0.032,0.932,-0.061,-0.793,5.798
-0.025,0.025,0.931,-0.671,-1.526,5.798
-0.024,0.028,0.931,-1.221,-1.709,5.310
-0.022,0.029,0.931,-1.587,-1.953,4.883
-0.020,0.032,0.929,-1.465,-2.502,4.578
-0.020,0.029,0.924,-1.099,-2.563,4.456
-0.020,0.029,0.925,-0.977,-2.014,4.272
-0.011,0.028,0.923,-1.038,-1.038,3.967
-0.020,0.028,0.919,-1.221,-0.916,4.211
-0.018,0.027,0.927,-1.709,-1.343,4.150
-0.020,0.034,0.927,-1.953,-1.099,4.333
-0.021,0.033,0.927,-1.587,-1.099,4.456
-0.016,0.036,0.919,-0.854,-0.671,4.639
-0.021,0.034,0.915,0.061,0.305,5.188
-0.017,0.036,0.910,1.099,1.770,5.493
-0.017,0.033,0.902,1.892,2.625,5.371
-0.016,0.034,0.895,2.258,3.357,5.371
-0.015,0.038,0.894,2.075,3.784,5.371
-0.013,0.035,0.895,1.282,3.479,5.371
-0.025,0.034,0.889,0.427,2.808,5.554
-0.020,0.039,0.898,-0.183,3.662,5.371
-0.026,0.043,0.904,-0.854,3.540,5.676
-0.025,0.040,0.906,-1.404,3.052,5.615
-0.027,0.036,0.909,-2.136,2.625,5.737
-0.030,0.031,0.920,-2.869,2.625,5.493
-0.032,0.024,0.933,-3.845,2.319,5.005
-0.036,0.017,0.954,-5.127,1.404,4.517
-0.038,0.020,0.961,-6.470,0.122,3.967
-0.040,0.026,0.970,-7.080,-1.709,3.906
-0.046,0.028,0.974,-6.531,-2.197,3.967
-0.053,0.033,0.978,-4.395,-0.916,4.395
-0.049,0.030,0.976,-2.258,-0.183,4.578
-0.052,0.028,0.968,-0.122,0.916,5.005
-0.049,0.023,0.957,1.343,2.136,5.493
-0.044,0.029,0.970,1.770,1.831,5.554
-0.040,0.019,0.958,1.343,0.122,5.981
-0.043,0.015,0.945,1.038,-0.183,6.104
-0.040,0.010,0.945,0.732,0.183,5.127
-0.036,0.011,0.949,0.244,0.000,4.395
-0.031,0.017,0.949,-0.366,-1.099,3.967
-0.032,0.020,0.938,-0.183,-2.502,3.662
-0.035,0.023,0.925,0.671,-2.869,3.174
-0.036,0.021,0.920,1.343,-2.441,2.747
-0.035,0.023,0.911,1.587,-1.953,2.563
-0.033,0.022,0.898,1.343,-1.343,2.747
-0.036,0.027,0.892,0.793,-0.793,3.113
-0.035,0.030,0.892,0.366,-0.488,3.113
-0.032,0.032,0.892,0.061,-0.732,3.235
-0.033,0.033,0.882,-0.061,-0.610,3.235
-0.035,0.026,0.879,0.061,0.122,2.930
-0.036,0.024,0.887,-0.183,0.854,2.808
-0.042,0.014,0.903,-1.587,0.427,2.808
-0.040,0.012,0.928,-4.089,-0.977,2.869
-0.042,0.017,0.935,-6.165,-2.686,3.113
-0.043,0.020,0.938,-6.775,-3.235,3.052
-0.044,0.022,0.940,-5.798,-2.075,3.174
-0.040,0.027,0.945,-4.028,-0.122,3.479
-0.038,0.026,0.948,-2.075,1.465,4.028
-0.034,0.025,0.954,-0.854,2.625,4.272
-0.028,0.019,0.957,-0.122,3.052,4.456
-0.029,0.010,0.961,0.000,2.686,4.211
-0.029,0.012,0.967,-0.549,1.770,3.784
-0.030,0.015,0.967,-0.916,0.427,3.174
-0.032,0.015,0.964,-0.977,-0.366,2.625
-0.034,0.020,0.964,-0.732,-0.916,2.197
-0.035,0.023,0.968,-0.549,-1.526,2.014
-0.039,0.025,0.959,0.061,-2.380,2.136
-0.042,0.022,0.956,0.793,-2.686,2.075
-0.043,0.025,0.953,1.526,-2.502,1.953
-0.042,0.023,0.953,1.953,-2.319,2.136
-0.043,0.020,0.953,1.892,-2.197,2.075
-0.040,0.018,0.950,1.526,-2.136,2.075
-0.042,0.021,0.948,1.343,-2.197,2.014
-0.043,0.023,0.942,1.343,-2.197,1.709
-0.043,0.024,0.939,1.465,-1.953,1.587
-0.043,0.029,0.940,1.526,-1.770,1.526
-0.045,0.033,0.939,1.648,-1.831,1.465
-0.045,0.033,0.932,1.709,-2.014,1.648
-0.045,0.031,0.936,1.282,-1.953,1.953
-0.046,0.033,0.935,1.587,-2.258,2.075
-0.049,0.028,0.937,1.709,-2.869,2.197
-0.045,0.025,0.927,1.648,-3.357,2.258
-0.047,0.025,0.926,1.465,-3.052,2.380
-0.047,0.023,0.920,1.221,-2.319,2.136
-0.044,0.024,0.925,0.916,-2.014,2.075
-0.041,0.022,0.927,0.122,-2.075,2.075
-0.038,0.022,0.925,-0.671,-2.258,2.319
-0.038,0.023,0.926,-1.038,-1.770,2.197
-0.036,0.025,0.932,-0.977,-1.465,1.892
-0.034,0.027,0.932,-1.038,-2.014,1.831
-0.033,0.026,0.939,-1.038,-2.625,2.014
-0.036,0.026,0.935,-0.671,-3.296,1.892

0.219,-0.335,2.180,-89.111,39.185,55.237
0.229,-0.431,2.354,-102.356,25.635,49.622
0.261,-0.598,2.751,-129.211,-11.536,29.053
0.277,-0.705,3.229,-157.715,-61.523,3.662
0.259,-0.769,3.511,-183.533,-120.056,-21.423
0.162,-0.842,3.681,-192.444,-166.199,-45.898
0.106,-0.812,3.657,-178.650,-181.946,-70.190
0.084,-0.786,3.698,-139.282,-168.274,-91.858
-0.076,-0.972,3.750,-94.238,-144.714,-114.380
-0.075,-0.718,3.592,-35.278,-134.949,-122.986
-0.257,-0.706,3.265,35.828,-129.761,-132.812
-0.362,-0.616,2.850,107.300,-123.291,-141.235
-0.517,-0.622,2.313,167.419,-119.385,-143.433
-0.609,-0.640,1.719,206.421,-113.281,-142.334
-0.688,-0.663,1.170,224.365,-104.187,-139.038
-0.712,-0.660,0.622,224.792,-99.426,-136.719
-0.713,-0.627,0.127,222.900,-85.205,-133.545
-0.676,-0.511,-0.086,224.915,-67.017,-127.686
-0.687,-0.421,-0.286,233.032,-68.787,-110.352
-0.745,-0.368,-0.461,246.521,-79.895,-90.027
-0.791,-0.414,-0.733,262.939,-89.233,-68.848
-0.764,-0.485,-0.931,274.658,-85.510,-54.260
-0.702,-0.506,-1.081,271.179,-77.698,-42.053
-0.664,-0.470,-1.257,253.906,-63.965,-27.954
-0.594,-0.388,-1.382,231.445,-42.358,-13.184
-0.467,-0.292,-1.429,210.449,-19.104,0.916
-0.314,-0.218,-1.426,191.223,-1.892,12.634
-0.146,-0.167,-1.370,169.128,7.019,21.729
0.004,-0.119,-1.300,140.381,4.639,28.198
0.138,-0.077,-1.245,106.079,-3.723,33.752
0.246,-0.039,-1.186,70.068,-9.827,37.903
0.355,0.015,-1.121,36.072,-8.850,39.429
0.448,0.056,-1.039,6.409,-4.089,38.208
0.533,0.091,-0.909,-20.081,4.395,35.461
0.584,0.097,-0.709,-43.030,12.878,29.419
0.619,0.112,-0.450,-62.622,15.320,19.592
0.639,0.142,-0.204,-80.688,7.141,7.996
0.520,0.032,-0.233,-98.389,3.845,-4.272
0.516,0.191,0.230,-118.896,31.921,-20.813
0.560,0.282,0.646,-137.878,12.695,-26.672
0.397,0.284,0.737,-147.705,-10.437,-21.667
0.236,0.305,0.782,-144.714,-11.169,-16.785
0.166,0.296,0.855,-131.348,2.563,-12.512
0.136,0.247,0.962,-112.183,19.531,-8.423
0.130,0.245,1.055,-93.323,29.785,-5.066
0.124,0.272,1.055,-78.064,32.715,0.671
0.136,0.306,1.004,-64.453,42.236,7.935
0.151,0.322,0.997,-50.781,57.556,14.343
0.161,0.316,0.998,-38.940,67.932,18.311
0.148,0.267,0.987,-30.945,75.134,19.592
0.131,0.206,1.019,-27.588,79.895,17.639
0.082,0.173,1.049,-30.640,79.285,13.855
0.063,0.162,1.158,-41.138,74.036,9.888
0.081,0.202,1.198,-51.514,53.528,5.005
0.052,0.239,1.168,-59.143,35.339,0.305
0.039,0.274,1.179,-64.148,19.775,-2.625
0.018,0.256,1.172,-67.566,3.784,-1.831
-0.023,0.209,1.151,-70.740,-6.165,0.793
-0.034,0.198,1.130,-71.899,-6.714,4.089
-0.036,0.182,1.128,-68.298,-1.892,9.338
-0.026,0.176,1.125,-61.829,6.836,15.015
-0.006,0.189,1.108,-53.101,18.066,19.409
0.024,0.201,1.128,-44.067,26.672,22.583
0.057,0.185,1.126,-37.292,30.334,26.123
0.083,0.152,1.109,-32.593,30.518,28.625
0.112,0.109,1.126,-27.527,30.640,30.518
0.117,0.036,1.210,-25.452,25.696,31.982
0.152,0.002,1.246,-29.236,14.771,31.250
0.156,0.024,1.218,-30.945,6.104,30.823
0.116,0.061,1.190,-25.085,3.052,29.663
0.127,0.081,1.103,-14.282,7.568,26.306
0.118,0.117,1.101,1.892,21.912,23.926
0.142,0.121,1.113,12.878,31.372,21.851
0.173,0.133,1.063,15.747,32.898,22.095
0.184,0.128,1.036,16.174,34.302,23.743
0.190,0.105,1.050,13.184,34.973,24.963
0.209,0.079,1.083,5.920,32.593,24.658
